,Contributors,Forks,Issues,Language,ReadMeLength,Repository Names,Stars,URLs
0,"1,090","14,105",533,Shell,7298,robbyrussell/oh-my-zsh,"66,255",https://github.com/robbyrussell/oh-my-zsh
1,919,"28,053",169,,3268,github/gitignore,"61,867",https://github.com/github/gitignore
2,"1,609","13,832",563,JavaScript,4030,facebook/react-native,"60,193",https://github.com/facebook/react-native
3,104,"15,717",26,,66821,jwasham/coding-interview-university,"58,105",https://github.com/jwasham/coding-interview-university
4,"1,604","28,805",502,JavaScript,5194,angular/angular.js,"58,049",https://github.com/angular/angular.js
5,732,"7,427",844,C++,2744,electron/electron,"56,961",https://github.com/electron/electron
6,âˆž,"20,509",195,C,720,torvalds/linux,"55,621",https://github.com/torvalds/linux
7,2,"9,530","4,387",CSS,3595,FortAwesome/Font-Awesome,"55,043",https://github.com/FortAwesome/Font-Awesome
8,84,"10,672",7,CSS,6045,daneden/animate.css,"49,366",https://github.com/daneden/animate.css
9,272,"14,427",71,JavaScript,10896,jquery/jquery,"48,115",https://github.com/jquery/jquery
10,"1,751","14,083","2,933",Go,3120,moby/moby,"47,734",https://github.com/moby/moby
11,280,"8,820",46,Python,53850,vinta/awesome-python,"45,723",https://github.com/vinta/awesome-python
12,"1,922","9,592",657,JavaScript,17679,nodejs/node,"45,698",https://github.com/nodejs/node
13,517,"6,069","4,124",TypeScript,1777,Microsoft/vscode,"44,710",https://github.com/Microsoft/vscode
14,451,"8,433",164,JavaScript,7160,facebook/create-react-app,"43,750",https://github.com/facebook/create-react-app
15,401,"8,649",786,JavaScript,2629,atom/atom,"43,560",https://github.com/atom/atom
16,558,"6,711",281,C++,9292,apple/swift,"42,715",https://github.com/apple/swift
17,13,"5,877",113,,1782,kamranahmedse/developer-roadmap,"42,202",https://github.com/kamranahmedse/developer-roadmap
18,437,"12,667",0,PHP,1938,laravel/laravel,"40,226",https://github.com/laravel/laravel
19,226,"9,572",10,JavaScript,2495,h5bp/html5-boilerplate,"39,844",https://github.com/h5bp/html5-boilerplate
20,188,"4,308","1,267",JavaScript,4036,Semantic-Org/Semantic-UI,"39,707",https://github.com/Semantic-Org/Semantic-UI
21,914,"14,657",611,JavaScript,1488,mrdoob/three.js,"39,503",https://github.com/mrdoob/three.js
22,146,"7,437",213,JavaScript,5118,socketio/socket.io,"39,443",https://github.com/socketio/socket.io
23,381,"4,967",70,JavaScript,1268,meteor/meteor,"39,281",https://github.com/meteor/meteor
24,214,"11,588",244,JavaScript,44439,hakimel/reveal.js,"39,043",https://github.com/hakimel/reveal.js
25,"3,458","15,675",361,Ruby,3827,rails/rails,"38,754",https://github.com/rails/rails
26,558,"8,992",17,JavaScript,10194,reactjs/redux,"38,389",https://github.com/reactjs/redux
27,"1,007","5,173","3,349",Go,1357,golang/go,"38,149",https://github.com/golang/go
28,401,"4,697",457,JavaScript,10457,webpack/webpack,"37,326",https://github.com/webpack/webpack
29,221,"6,603",121,JavaScript,2297,expressjs/express,"36,775",https://github.com/expressjs/express
30,129,"2,548",153,JavaScript,16134,axios/axios,"36,603",https://github.com/axios/axios
31,2,"7,971",535,,450,nodejs/node-v0.x-archive,"35,978",https://github.com/nodejs/node-v0.x-archive
32,455,"5,327",247,JavaScript,1541,moment/moment,"35,663",https://github.com/moment/moment
33,249,"8,519",386,JavaScript,1775,chartjs/Chart.js,"35,317",https://github.com/chartjs/Chart.js
34,49,919,26,JavaScript,525,resume/resume.github.com,"34,960",https://github.com/resume/resume.github.com
35,598,"6,285","1,844",Python,80097,rg3/youtube-dl,"34,171",https://github.com/rg3/youtube-dl
36,68,"2,327",99,Python,35278,jakubroztocil/httpie,"34,138",https://github.com/jakubroztocil/httpie
37,104,"1,673",134,Python,16932,nvbn/thefuck,"33,878",https://github.com/nvbn/thefuck
38,146,"3,363",62,,32356,jlevy/the-art-of-command-line,"33,785",https://github.com/jlevy/the-art-of-command-line
39,355,"3,119",2,Python,35293,toddmotto/public-apis,"33,575",https://github.com/toddmotto/public-apis
40,18,"6,632",374,CSS,1477,google/material-design-icons,"33,565",https://github.com/google/material-design-icons
41,597,"8,228","1,832",TypeScript,462,angular/angular,"33,378",https://github.com/angular/angular
42,759,"7,357",81,Ruby,1934,jekyll/jekyll,"33,367",https://github.com/jekyll/jekyll
43,460,"10,315",27,Python,1150,pallets/flask,"33,367",https://github.com/pallets/flask
44,673,"6,099",163,JavaScript,3561,mui-org/material-ui,"33,367",https://github.com/mui-org/material-ui
45,261,"10,314","1,081",TypeScript,1110,ionic-team/ionic,"33,356",https://github.com/ionic-team/ionic
46,60,662,299,C++,2580,x64dbg/x64dbg,"33,299",https://github.com/x64dbg/x64dbg
47,97,"3,718",668,C++,3181,nwjs/nw.js,"33,280",https://github.com/nwjs/nw.js
48,58,"6,773",31,JavaScript,5698,impress/impress.js,"33,124",https://github.com/impress/impress.js
49,180,"6,731",18,,1144,h5bp/Front-end-Developer-Interview-Questions,"32,891",https://github.com/h5bp/Front-end-Developer-Interview-Questions
50,"1,594","11,571","3,486",Go,1638,kubernetes/kubernetes,"32,829",https://github.com/kubernetes/kubernetes
51,54,"7,765","1,854",Go,7643,getlantern/lantern,"32,452",https://github.com/getlantern/lantern
52,52,"2,675",8,,5333,mtdvio/every-programmer-should-know,"32,010",https://github.com/mtdvio/every-programmer-should-know
53,"1,540","13,487",193,Python,1829,django/django,"31,952",https://github.com/django/django
54,244,"4,401",240,JavaScript,1903,Dogfalo/materialize,"31,492",https://github.com/Dogfalo/materialize
55,277,"4,580","2,534",TypeScript,2602,Microsoft/TypeScript,"31,337",https://github.com/Microsoft/TypeScript
56,187,"5,446",32,Java,10485,ReactiveX/RxJava,"30,996",https://github.com/ReactiveX/RxJava
57,40,"5,529",25,JavaScript,2845,NARKOZ/hacker-scripts,"30,829",https://github.com/NARKOZ/hacker-scripts
58,273,"9,503",190,Objective-C,11115,AFNetworking/AFNetworking,"30,695",https://github.com/AFNetworking/AFNetworking
59,297,"7,494",3,Python,78738,josephmisiti/awesome-machine-learning,"30,686",https://github.com/josephmisiti/awesome-machine-learning
60,498,"5,615",101,Python,2184,requests/requests,"30,495",https://github.com/requests/requests
61,387,"1,666",974,JavaScript,1863,yarnpkg/yarn,"30,341",https://github.com/yarnpkg/yarn
62,75,"4,118",9,,19786,ossu/computer-science,"30,107",https://github.com/ossu/computer-science
63,116,"9,628",167,Java,1457,iluwatar/java-design-patterns,"29,890",https://github.com/iluwatar/java-design-patterns
64,258,"3,139",0,JavaScript,1518,lodash/lodash,"29,872",https://github.com/lodash/lodash
65,37,"6,104",4,CSS,2072,necolas/normalize.css,"29,854",https://github.com/necolas/normalize.css
66,174,"5,128",304,HTML,2555,google/material-design-lite,"29,575",https://github.com/google/material-design-lite
67,53,"2,369",259,JavaScript,11438,typicode/json-server,"29,076",https://github.com/typicode/json-server
68,"1,004","3,975",30,,99668,vuejs/awesome-vue,"29,039",https://github.com/vuejs/awesome-vue
69,955,"10,073","1,230",Java,8440,elastic/elasticsearch,"28,928",https://github.com/elastic/elasticsearch
70,209,"4,223",20,JavaScript,6810,gulpjs/gulp,"28,834",https://github.com/gulpjs/gulp
71,186,"2,699",10,,3040,papers-we-love/papers-we-love,"28,779",https://github.com/papers-we-love/papers-we-love
72,354,"6,238","2,028",JavaScript,4512,adobe/brackets,"28,716",https://github.com/adobe/brackets
73,"5,577","13,168",0,Ruby,336,Homebrew/legacy-homebrew,"28,654",https://github.com/Homebrew/legacy-homebrew
74,304,"15,762",434,Python,983,tensorflow/models,"28,642",https://github.com/tensorflow/models
75,37,"7,743",75,,8767,wasabeef/awesome-android-ui,"28,627",https://github.com/wasabeef/awesome-android-ui
76,"3,300","10,317","3,514",Python,2789,ansible/ansible,"28,590",https://github.com/ansible/ansible
77,510,"6,137",24,JavaScript,753,ReactTraining/react-router,"28,426",https://github.com/ReactTraining/react-router
78,77,"7,663",0,JavaScript,5222,blueimp/jQuery-File-Upload,"28,360",https://github.com/blueimp/jQuery-File-Upload
79,94,"10,557",80,JavaScript,8440,justjavac/free-programming-books-zh_CN,"28,307",https://github.com/justjavac/free-programming-books-zh_CN
80,767,"3,628",9,Go,102895,avelino/awesome-go,"28,079",https://github.com/avelino/awesome-go
81,514,"16,647",603,C++,2925,bitcoin/bitcoin,"28,063",https://github.com/bitcoin/bitcoin
82,154,"2,310",323,C,7979,firehol/netdata,"27,653",https://github.com/firehol/netdata
83,244,"10,592","1,037",C,19189,antirez/redis,"27,604",https://github.com/antirez/redis
84,961,"5,792",357,JavaScript,2335,zurb/foundation-sites,"27,008",https://github.com/zurb/foundation-sites
85,297,"5,758",38,JavaScript,1838,jashkenas/backbone,"27,006",https://github.com/jashkenas/backbone
86,155,"4,787",35,Swift,8858,Alamofire/Alamofire,"26,996",https://github.com/Alamofire/Alamofire
87,117,"1,800",233,JavaScript,8733,GoogleChrome/puppeteer,"26,936",https://github.com/GoogleChrome/puppeteer
88,"2,018","4,743","3,311",Rust,6281,rust-lang/rust,"26,638",https://github.com/rust-lang/rust
89,11,"4,456",177,JavaScript,10618,adam-p/markdown-here,"26,519",https://github.com/adam-p/markdown-here
90,731,"13,487",166,JavaScript,2758,freeCodeCamp/freeCodeCamp,"291,631",https://github.com/freeCodeCamp/freeCodeCamp
91,983,"57,749",323,CSS,4908,twbs/bootstrap,"122,126",https://github.com/twbs/bootstrap
92,981,"25,834",17,,1512,EbookFoundation/free-programming-books,"101,632",https://github.com/EbookFoundation/free-programming-books
93,"1,344","58,530","1,186",C++,2981,tensorflow/tensorflow,"90,139",https://github.com/tensorflow/tensorflow
94,"1,167","16,835",330,JavaScript,3263,facebook/react,"88,961",https://github.com/facebook/react
95,168,"12,393",99,JavaScript,2604,vuejs/vue,"84,588",https://github.com/vuejs/vue
96,324,"10,320",38,,12280,sindresorhus/awesome,"78,728",https://github.com/sindresorhus/awesome
97,159,"13,777",111,,2628,getify/You-Dont-Know-JS,"76,264",https://github.com/getify/You-Dont-Know-JS
98,121,"18,782",3,JavaScript,1499,d3/d3,"72,744",https://github.com/d3/d3
99,381,"12,769",88,JavaScript,68082,airbnb/javascript,"66,770",https://github.com/airbnb/javascript
